id,exercise_name,calories,type
638,Decline sit-up,161,Strength
639,Hanging Windshield Wiper,378,Strength
640,Exercise Ball Pull-In,165,Strength
641,Exercise ball crunch,447,Strength
642,Feet-elevated crunch,279,Strength
643,Weighted Ball Side Bend,449,Strength
644,Swiss Ball Ab Roll-Out,287,Strength
645,Exercise Ball Cable Crunch - Gethin Variation,242,Strength
646,Exercise ball squat and twist,149,Strength
647,Swiss Ball V-Up With Foot Pass,197,Strength
648,Exercise ball pike,211,Strength
649,Exercise ball bird dog,207,Strength
650,Exercise ball superman,350,Strength
651,BOSU cross-body crunch,52,Strength
652,Exercise Ball Knee Tuck - Gethin Varation,414,Strength
653,Alternating Exercise Ball Knee Tucks - Gethin Variation,255,Strength
654,AM Ball Crunch,221,Strength
655,30 Bosu Cable Reverse Crunch,200,Strength
656,BOSU knee tuck,432,Strength
657,30 Side Plank On Ball,330,Strength
658,Hanging exercise ball leg raise,346,Strength
659,Taylor Exercise Ball Stir-The-Pot,305,Strength
660,FYR2 Air Ball,264,Strength
661,Feet-elevated plank on ball,113,Strength
662,Band Hip Adductions,147,Strength
663,Lateral Band Walk,180,Strength
664,FYR2 Standing Banded Leg Abduction,61,Strength
665,Iliotibial band SMR,425,Stretching
666,Adductor SMR,466,Stretching
667,Lying Bent Leg Groin,345,Stretching
668,Lateral box jump,232,Plyometrics
669,Thigh adductor,127,Strength
670,Thigh abductor,492,Strength
671,Standing Hip Circles,439,Stretching
672,Groiners,395,Stretching
673,Fire Hydrant,305,Strength
674,Windmills,82,Stretching
675,Side Leg Raises,352,Stretching
676,Lateral hop,168,Plyometrics
677,Monster Walk,406,Strength
678,Side Lying Groin Stretch,125,Stretching
679,IT Band and Glute Stretch,67,Stretching
680,Single-leg lying cross-over stretch,258,Stretching
681,Carioca quick step,143,Plyometrics
682,Standing hip circle,222,Stretching
683,Lateral cone hop,488,Plyometrics
684,Side-To-Side Adductor Stretch,221,Strength
685,Dynamic pigeon stretch,159,Strength
686,Cross-over jack,214,Strength
687,Traveling thigh killa,260,Strength
688,FYR Thigh Killa,95,Strength
689,HM Straddle Stretch,248,Stretching
690,HM Right Leg Swing,168,Stretching
691,HM Right Side-Kick,238,Stretching
692,HM Frog Stretch,388,Strength
693,HM Kick-Out,178,Strength
694,HM Left Leg Swing,277,Strength
695,UNS Foam Roll Adductor,264,Strength
696,MetaBurn Groiner,154,Strength
697,Side-lying leg adduction scissor,195,Strength
698,Groin and Back Stretch,488,Stretching
699,Adductor/Groin,400,Stretching
700,Incline dumbbell biceps curl,118,Strength
701,Banded biceps curl in squat position,398,Strength
702,Banded Hammer Press - Gethin Variation,277,Strength
703,Band standing concentration curl,213,Strength
704,Brachialis SMR,236,Stretching
705,Wide-grip barbell curl,389,Strength
706,EZ-bar spider curl,267,Strength
707,Barbell Curl,473,Strength
708,Close-grip EZ-bar curl,348,Strength
709,Preacher Curl,286,Strength
710,Barbell Curls Lying Against An Incline,76,Strength
711,Seated Close-Grip Concentration Barbell Curl,337,Strength
712,Close-grip barbell curl,191,Strength
713,Drag curl,372,Strength
714,Reverse-grip barbell curl,206,Strength
715,Lying High Bench Barbell Curl,220,Strength
716,Seated wide-grip curl to close-grip curl,293,Strength
717,Seated Straigh-Bar Curl Superset,183,Strength
718,Dave Draper Forehead Curl,378,Strength
719,Reverse-grip EZ-bar curl,253,Strength
720,EZ-Bar Spider Curl - Gethin Variation,115,Strength
721,Barbell curl-,349,Strength
722,Paul Carter Barbell Curl,103,Strength
723,Standing band biceps curl,423,Strength
724,Close-Grip EZ-Bar Curl - Gethin Variation,333,Strength
725,Seated Barbell Curl,371,Strength
726,AM Standing Barbell Curl,376,Strength
727,EZ-bar preacher curl,204,Strength
728,30 Arms Standing Barbell Curl,161,Strength
729,30 Arms Incline Biceps Curl,360,Strength
730,"Bicep Curls ""21s""",60,Strength
731,Incline Hammer Curls,196,Strength
732,Hammer Curls,93,Strength
733,Biceps curl to shoulder press,285,Strength
734,Concentration curl,96,Strength
735,Flexor Incline Dumbbell Curls,405,Strength
736,Dumbbell Bicep Curl,132,Strength
737,Cross-body hammer curl,173,Strength
738,Dumbbell Alternate Bicep Curl,438,Strength
739,Single-arm dumbbell preacher curl,132,Strength
740,Alternate Incline Dumbbell Curl,497,Strength
741,Standing concentration curl,279,Strength
742,Alternating incline dumbbell biceps curl,339,Strength
743,Alternate Hammer Curl,435,Strength
744,Seated dumbbell biceps curl,244,Strength
745,Preacher Hammer Dumbbell Curl,256,Strength
746,Dumbbell preacher curl,148,Strength
747,Lying Supine Dumbbell Curl,150,Strength
748,Standing Dumbbell Reverse Curl,74,Strength
749,Palms-out incline biceps curl,466,Strength
750,Straight-arm plank with biceps curl,116,Strength
751,Face-down incline dumbbell biceps curl,225,Strength
752,Seated Dumbbell Inner Biceps Curl,143,Strength
753,Standing Inner-Biceps Curl,164,Strength
754,Seated hammer curl,171,Strength
755,Paul Carter Incline Dumbbell Biceps Curl,227,Strength
756,Paul Carter Concentration Curl,219,Strength
757,FYR Dumbbell Curl,478,Strength
758,Dumbbell biceps curl to upright row,138,Strength
759,FYR Dumbbell Hammer Curl,306,Strength
760,Dumbbell overhead hold with single-arm curl,317,Strength
761,FYR Kneeling Biceps,349,Strength
762,Lunge hold dumbbell curl,349,Strength
763,FYR Dumbbell Biceps Curl,96,Strength
764,Alternating dumbbell snatch,467,Strength
765,TBS Incline Dumbbell Curl,371,Strength
766,TBS Hammer Curl,114,Strength
767,Reverse-grip dumbbell curl,452,Strength
768,Incline Dumbbell Curl - Gethin Variation,260,Strength
769,Hammer curl,370,Strength
770,Seated Dumbbell Curl - Gethin Variation,91,Strength
771,Dumbbell Hammer Curl - Gethin Variation,427,Strength
772,Single-arm seated dumbbell curl,195,Strength
773,Lying Cable Curl - Gethin Variation,279,Strength
774,Dumbbell biceps curl,83,Strength
775,Seated Biceps Hammer Curl,406,Strength
776,HM Alternating Reverse Lunge With Biceps Curl,288,Strength
777,AM Hammer Curls,61,Strength
778,AM Seated Hammer Curls,93,Strength
779,Seated alternating biceps curl,330,Strength
780,Alternating hammer curl,66,Strength
781,Alternating biceps curl,287,Strength
782,Holman Slow Biceps Curl,222,Strength
783,Holman Biceps Curl to Chest Punch,137,Strength
784,Holman Right Arm Heavy Biceps Curl,206,Strength
785,Holman Left Arm Heavy Biceps Curl,143,Strength
786,Holman Alternating Front Lunge Biceps Curl,211,Strength
787,Holman Weighted Double-Time Biceps Curl,482,Strength
788,Holman Heavy Right Arm Biceps Curl,138,Strength
789,Holman Heavy Left Arm Biceps Curl,438,Strength
790,MetaBurn Dumbbell Drag Curl,167,Strength
791,MetaBurn Hammer Curl to Overhead Press,269,Strength
792,MetaBurn Biceps Curl To Lateral Raise,469,Strength
793,FYR2 Alternating Dumbbell Curl,315,Strength
794,FYR2 Pulse Biceps Curl,60,Strength
795,FYR2 Seesaw Dumbbell Biceps Curl,167,Strength
796,FYR2 Single-Dumbbell Biceps Curl,434,Strength
797,FYR2 Dumbbell Curl-Row Complex,324,Strength
798,30 Arms Standing Dumbbell Hammer Curl 21s,466,Strength
799,30 Arms Standing Biceps Curl,199,Strength
800,30 Arms Standing Alternating Hammer Curl,97,Strength
801,30 Arms Standing Alternating Biceps Curl,461,Strength
802,30 Arms Single-Arm Hammer Preacher Curl,262,Strength
803,30 Arms Single-Arm Dumbbell Preacher Curl,382,Strength
804,30 Arms Seated Dumbbell Concentration Curl,55,Strength
805,30 Arms Seated Biceps Curl,200,Strength
806,30 Arms Seated Alternating Biceps Curl,263,Strength
807,30 Arms Incline Hammer Curl,270,Strength
808,30 Arms Incline Dumbbell Triceps Extension,361,Strength
809,30 Arms Hammer Curl,337,Strength
810,Reverse Plate Curls,286,Strength
811,Standing Biceps Stretch,483,Stretching
812,Suspended Curl,286,Strength
813,Plate hammer curl,306,Strength
814,Barbell spider curl,468,Strength
815,Barbell forehead curl,300,Strength
816,Overhead cable curl,89,Strength
817,Standing One-Arm Cable Curl,230,Strength
818,Reverse Cable Curl,399,Strength
819,Standing Biceps Cable Curl,465,Strength
820,Cable rope hammer curl,286,Strength
821,Lying cable biceps curl,383,Strength
822,Cable rope preacher hammer curl,341,Strength
823,Lying Close-Grip Bar Curl On High Pulley,166,Strength
824,Cable EZ-Bar Preacher Curl - Gethin Variation,273,Strength
825,Squatting cable EZ-bar biceps curl,192,Strength
826,Cable straight-bar biceps curl,420,Strength
827,Standing reverse-grip cable curl,193,Strength
828,Lying high-cable biceps curl,448,Strength
829,High-Pulley Cable Curl - Gethin Variation,423,Strength
830,Standing High Cable Curl - Gethin Variation,321,Strength
831,High Cable Curls,408,Strength
832,Seated cable biceps curl,327,Strength
833,Lying Close-Grip Bar Curl On High Pulley - Gethin Variation,463,Strength
834,Standing Cable Curl - Gethin Variation,67,Strength
835,Double Arm Cable Biceps Curl,442,Strength
836,AM Cable Biceps Curl,144,Strength
837,Single-arm cable biceps curl,374,Strength
838,UP Cable Curl With Straight Bar,141,Strength
839,30 Arms Cable Rope Hammer Curl,105,Strength
840,30 Arms Squatting Cable Straight-Bar Curl,303,Strength
841,30 Arms High Cable Curl,272,Strength
842,30 Arms Cable Straight-Bar Curl,271,Strength
843,30 Arms Cable Concentration Curl,385,Strength
844,30 Arms BFR High Cable Curl,146,Strength
845,BFR cable rope hammer curl,150,Strength
846,Machine Bicep Curl,302,Strength
847,Machine Preacher Curls,467,Strength
848,Single-arm machine preacher curl,480,Strength
849,Machine preacher curl,92,Strength
850,Smith machine drag curl,457,Strength
851,30 Arms BFR Machine Preacher Curl,99,Strength
852,Seated Biceps,445,Stretching
853,TBS Chin-Up,322,Strength
854,Pull-up - Gethin Variation,77,Strength
855,UN Pull-Up Supinated,139,Strength
856,UN Pull-Up Pronated,482,Strength
857,UN Pull-Up Neutral,216,Strength
858,EZ-Bar Curl,129,Strength
859,Reverse Barbell Preacher Curls,87,Strength
860,Close-Grip EZ-Bar Curl with Band,306,Strength
861,Standing EZ-Bar Curl - Gethin Variation,449,Strength
862,TBS EZ-Bar Curl,186,Strength
863,Standing EZ-bar curl,177,Strength
864,30 Arms Standing Overhand EZ-Bar Curl,76,Strength
865,30 Arms EZ-Bar Spider Curl,186,Strength
866,30 Arms EZ-Bar Preacher Curl,303,Strength
867,30 Arms Standing EZ-Bar Curl,263,Strength
868,Calf Raises - With Bands,427,Strength
869,Peroneals Stretch,151,Stretching
870,Posterior Tibialis Stretch,114,Stretching
871,Calf SMR,191,Stretching
872,Rocking Standing Calf Raise,282,Strength
873,Standing barbell calf raise,497,Strength
874,Barbell Seated Calf Raise,354,Strength
875,Smith machine standing calf raise,306,Strength
876,Calf Raise On A Dumbbell,152,Strength
877,Standing Dumbbell Calf Raise,68,Strength
878,Single-leg standing dumbbell calf raise,151,Strength
879,Dumbbell walking calf raise,217,Strength
880,Balance Board,68,Strength
881,Weighted donkey calf raise,280,Strength
882,Anterior Tibialis-SMR,112,Stretching
883,Foot-SMR,78,Stretching
884,Agility Ladder,199,Cardio
885,Single-leg machine seated calf raise,243,Strength
886,Smith Machine Calf Raise,209,Strength
887,Standing Calf Raises,172,Strength
888,Seated Calf Raise,469,Strength
889,Calf Press On The Leg Press Machine,215,Strength
890,Calf Press,317,Strength
891,Smith Machine Reverse Calf Raises,315,Strength
892,Seated Single-Leg Calf Press - Gethin Variation,80,Strength
893,Seated Calf Raise - Gethin Variation,332,Strength
894,Donkey Calf Raise - Gethin Variation,340,Strength
895,Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,352,Strength
896,Calf Press On A Hack Squat Machine - Gethin Variation,163,Strength
897,Smith Machine Standing Calf Raises - Gethin Variation,127,Strength
898,Hack squat calf raise,359,Strength
899,Seated Calf Press - Gethin Variation,188,Strength
900,Leg press calf raise,200,Strength
901,Machine seated calf raise,354,Strength
902,30 Legs Seated Calf Raise,457,Strength
903,30 Legs Standing Calf Raise,161,Strength
904,Peroneals-SMR,105,Stretching
905,Knee Circles,255,Stretching
906,Standing Gastrocnemius Calf Stretch,303,Stretching
907,Wall calf stretch,265,Stretching
908,Seated Calf Stretch,465,Stretching
909,Standing Calf Raise,208,Strength
910,Standing calf raise-,242,Strength
911,HM Left Calf-Spike Sumo Pulse,404,Strength
912,Ankle Circles,298,Stretching
913,Calf Stretch Elbows Against Wall,287,Stretching
914,Standing Soleus And Achilles Stretch,104,Stretching
915,Cross Over - With Bands,323,Strength
916,Bench Press - With Bands,304,Strength
917,Bench Press With Short Bands,326,Powerlifting
918,Feet-Elevated TRX Push-Up,318,Strength
919,Band-suspended kettlebell bench press,492,Strength
920,HM Banded Cross-Over Pull,246,Strength
921,Rusin Band Pull-Apart,123,Strength
922,UNS Banded Push-Up,240,Strength
923,Taylor Band-Assisted One-Arm Push-Up,309,Strength
924,Incline band bench press,201,Strength
925,Band push-up,452,Strength
926,Band chest fly,51,Strength
927,Close-grip bench press,65,Strength
928,Barbell Bench Press - Medium Grip,220,Strength
929,Decline barbell bench press,55,Strength
930,Wide-grip bench press,135,Strength
931,Wide-Grip Decline Barbell Bench Press,394,Strength
932,Barbell Incline Bench Press Medium-Grip,384,Strength
933,Neck Press,102,Strength
934,Front Raise And Pullover,153,Strength
935,Board bench press,194,Powerlifting
936,Barbell Bench Press-Wide Grip,187,Strength
937,Wide-Grip Decline Barbell Pullover,327,Strength
938,Barbell Guillotine Bench Press,156,Strength
939,Band-suspended kettlebell bench press,64,Strength
940,Paul Carter Incline Bench Press,178,Strength
941,Incline bench press,239,Strength
942,Bench press,60,Strength
943,TBS Close-Grip Bench Press,254,Strength
944,AM Flat Bench Barbell Press,148,Strength
945,UP Bench Press,458,Strength
946,UP Close-Grip Bench Press,409,Strength
947,King Maker Barbell Bench Press,351,Strength
948,King Maker Incline Barbell Bench Press,475,Strength
949,30 Chest Incline Barbell Bench Press,112,Strength
950,30 Chest Barbell Bench Press,260,Strength
951,30 Chest 30-Degree Incline Dumbbell Press,226,Strength
952,Spoto press,52,Strength
953,Kettlebell plyo push-up,308,Strength
954,Extended Range One-Arm Kettlebell Floor Press,342,Strength
955,Kettlebell alternating floor press,410,Strength
956,One-Arm Kettlebell Floor Press,288,Strength
957,Leg-Over Floor Press,393,Strength
958,Band-suspended kettlebell bench press,351,Strength
959,FYR2 Push-Up to Kettlebell Hike Combo,250,Strength
960,Pushups,316,Strength
961,Incline Push-Up,468,Strength
962,Hands-elevated push-up,153,Strength
963,Decline Push-Up,467,Strength
964,Single-Arm Push-Up,370,Strength
965,Close push-up to wide push-up,243,Strength
966,Wide-grip hands-elevated push-up,491,Strength
967,Push-Ups With Feet On An Exercise Ball,463,Strength
968,Feet-elevated push-up,217,Strength
969,Isometric Wipers,475,Strength
970,Clock push-up,457,Strength
971,Incline Push-Up Depth Jump,241,Plyometrics
972,Push-Up Wide,492,Strength
973,Sphinx push-up,123,Strength
974,Close-Hands Push-Up,347,Strength
975,Tiger-bend push-up,104,Strength
976,Plyo push-up,485,Plyometrics
977,Close-grip hands-elevated push-up,307,Strength
978,Suspended push-up,323,Strength
979,Push Up to Side Plank,296,Strength
980,Isometric Chest Squeezes,184,Plyometrics
981,Side-to-side push-up,220,Strength
982,Typewriter push-up,126,Strength
983,Diamond push-up,211,Strength
984,Judo push-up,301,Strength
985,Superman Push-Up,215,Plyometrics
986,Wide push-up,57,Strength
987,One-Arm Push-Up,472,Strength
988,Clapping Push-Up,420,Plyometrics
989,Staggered push-up,122,Strength
990,Reverse-grip hands-elevated push-up,277,Strength
991,Triple Clap Push-Up,169,Plyometrics
992,Side kick-through push-up,222,Strength
993,Swimming,224,Cardio
994,FYR Push-Up,425,Strength
995,Frog push-up,174,Strength
996,Wide push-up plank hold,345,Strength
997,Close push-up,253,Strength
998,Push-Up - Gethin Variation,392,Strength
999,HM Incline Push-Up On Chair,318,Strength
1000,HM Push-Up,303,Strength
1001,HM Push-Plank,54,Strength
1002,AM Chest Dips,470,Strength
1003,Push-up,316,Strength
1004,UP Push-up,71,Strength
1005,UN Push-Up,203,Strength
1006,UNS Foam Roll Pecs,275,Strength
1007,UN Hands Elevated Push-Up,287,Strength
1008,Holman Seal Drag to Push-Up,454,Strength
1009,Holman Hand-Elevated Push-Up with Hand Row,192,Strength
1010,Holman Push-Up,209,Strength
1011,Holman Slow Hips-Up Chest Press,242,Strength
1012,Holman Jump-Out Push-Up with Hand Hop Back,335,Strength
1013,Holman Froggy Push-Up to Donkey Kick,344,Strength
1014,Holman Push-Up to Sit Back,452,Strength
1015,Holman Sit Back Push-Up,204,Strength
1016,Holman Alternating Staggered Push-Up,301,Strength
1017,Holman Foot-Up Diving Push-Up,311,Strength
1018,Holman Narrow Push-Up,450,Strength
1019,Holman Dynamo Push-Up,140,Strength
1020,Holman Jump to Push-Up,325,Strength
1021,Holman Foot-Elevated Push-Up,416,Strength
1022,Holman Feet-Elevated Push-Up,344,Strength
1023,Total Fitness Plyo Push-Up,172,Strength
1024,Scapular push-up,440,Strength
1025,King Maker Push-up,390,Strength
1026,Warrior push-up,431,Strength
1027,Taylor Roll-Over Push-Up,171,Strength
1028,Taylor One-Arm Push-Up Slow Negative,76,Strength
1029,30 Chest Push-Up To Isometric Hold,362,Strength
1030,30 Chest Push-Up,79,Strength
1031,30 Chest Bench Push-Up,401,Strength
1032,MetaBurn 3-Phase Push-Up,341,Strength
1033,MetaBurn Fast Feet To Push-Up,311,Strength
1034,MetaBurn Judo Push-Up To Pike Push-Up,161,Strength
1035,MetaBurn Pike Push-Up,190,Strength
1036,MetaBurn Push-Up To Frogger,199,Strength
1037,MetaBurn Push-Up With Hand Side-Step,447,Strength
1038,MetaBurn Push-Up With Hand-Up Rotation,410,Strength
1039,MetaBurn Sphinx Push-Up,177,Strength
1040,MetaBurn Spiderman Push-Up,234,Strength
1041,Roberston Push-up to Down Dog,439,Strength
1042,FYR2 Push-Up-Breakdancer-Shoulder-Tap Complex,296,Strength
1043,ACFT Hand-release push-up,292,Strength
1044,1.5-rep push-up,370,Strength
1045,ACFT Triple-clap push-up,363,Strength
1046,ACFT Superman push-up,356,Strength
1047,Cross-over push-up,277,Strength
1048,Leverage Incline Chest Press,104,Strength
1049,Butterfly,362,Strength
1050,Leverage Chest Press,195,Strength
1051,Decline Smith Press,185,Strength
1052,Smith machine bench press,205,Strength
1053,Leverage Decline Chest Press,168,Strength
1054,Machine chest press,108,Strength
1055,Smith Machine Incline Bench Press,447,Strength
1056,Smith Machine Close-Grip Bench Press,457,Strength
1057,Smith Machine Decline Press,407,Strength
1058,Smith machine bench press throw,273,Strength
1059,Machine chest fly,51,Strength
1060,Machine bench press,194,Strength
1061,Machine Seated Chest Press - Gethin Variation,183,Strength
1062,Smith machine weighted push-up,237,Strength
1063,Smith machine incline bench press-,210,Strength
1064,Smith machine decline bench press,430,Strength
1065,AM Pec Dec,182,Strength
1066,30 Chest Machine Flat Chest Press,354,Strength
1067,Smith machine push-up,380,Strength
1068,30 Chest Smith Machine Incline Chest Press,455,Strength
1069,30 Chest Smith Machine Chest Press,418,Strength
1070,30 Chest Machine Incline Chest Press,174,Strength
1071,30 Chest Machine Fly,91,Strength
1072,30 Chest 30-Degree Incline Smith Machine Press,455,Strength
1073,Low-cable cross-over,277,Strength
1074,Incline cable chest fly,435,Strength
1075,Cable Crossover,344,Strength
1076,Incline cable chest press,160,Strength
1077,Cable Chest Press,300,Strength
1078,Single-arm cable cross-over,281,Strength
1079,Cable cross-over,205,Strength
1080,Standing Cable Chest Press,296,Strength
1081,Lying cable chest fly,458,Strength
1082,Paul Carter Cable Cross-Over,366,Strength
1083,One-Arm Cable Crossover - Gethin Variation,190,Strength
1084,Incline Cable Fly - Gethin Variation,293,Strength
1085,Cable Cross-Over - Gethin Variation,471,Strength
1086,Seated cable chest fly,482,Strength
1087,Single-arm incline cable cross-over-,333,Strength
1088,High-to-low cable chest fly,342,Strength
1089,UP Cable Cross-Over,84,Strength
1090,UP Cable Fly,310,Strength
1091,30 Chest Low-To-High Cable Fly,284,Strength
1092,30 Chest Incline Cable Fly,256,Strength
1093,30 Chest Incline Cable Chest Press,415,Strength
1094,30 Chest High-To-Low Cable Press,386,Strength
1095,30 Chest High-To-Low Cable Fly,198,Strength
1096,30 Chest Shoulder-Height Cable Fly,421,Strength
1097,Cable Pec Fly,166,Strength
1098,Chest Push (multiple response),59,Plyometrics
1099,Medicine Ball Chest Pass,452,Plyometrics
1100,Medicine ball sprawl to chest press,488,Strength
1101,Medicine ball push-up,185,Strength
1102,Chest Push (single response),294,Plyometrics
1103,Chest Push with Run Release,228,Plyometrics
1104,Chest Push from 3 point stance,382,Plyometrics
1105,Dumbbell Bench Press,133,Strength
1106,Dumbbell Flyes,118,Strength
1107,Incline dumbbell bench press,478,Strength
1108,Decline Dumbbell Flyes,416,Strength
1109,Reverse-grip incline dumbbell bench press,177,Strength
1110,Incline Dumbbell Flyes,164,Strength
1111,Neutral-grip dumbbell bench press,274,Strength
1112,Decline dumbbell bench press,393,Strength
1113,Single-arm kettlebell row,391,Strength
1114,Hammer Grip Incline DB Bench Press,404,Strength
1115,Straight-arm dumbbell pull-over,356,Strength
1116,Incline Dumbbell Bench With Palms Facing In,328,Strength
1117,Incline Dumbbell Flyes - With A Twist,452,Strength
1118,Bent-arm dumbbell pull-over,481,Strength
1119,Close-grip dumbbell bench press,137,Strength
1120,Single-dumbbell push-up,102,Strength
1121,One-Arm Flat Bench Dumbbell Flye,248,Strength
1122,Dumbbell Fix Dumbbell Floor Chest Fly,232,Strength
1123,Dumbbell Fix Traveling Push-Up,93,Strength
1124,Incline dumbbell chest fly,115,Strength
1125,Paul Carter Dumbbell Shrug,442,Strength
1126,Dumbbell push-up row,80,Strength
1127,TBS Dumbbell Incline Press,269,Strength
1128,Incline Dumbbell Fly - Gethin Variation,92,Strength
1129,Dumbbell bench press-,341,Strength
1130,Decline dumbbell fly and press,396,Strength
1131,Incline dumbbell fly and press,78,Strength
1132,Single-arm decline dumbbell bench press,441,Strength
1133,Single-arm incline dumbbell bench press,71,Strength
1134,Incline Dumbbell Press - Gethin Variation,354,Strength
1135,Dumbbell Chest Press - Gethin Variation,52,Strength
1136,Dumbbell Floor Press - Gethin Variation,318,Strength
1137,Decline Dumbbell Press - Gethin Variation,91,Strength
1138,Dumbbell chest fly,210,Strength
1139,Machine rear delt fly,71,Strength
1140,AM Dumbbell Bench Press,339,Strength
1141,UP Incline Dumbbell Press,303,Strength
1142,UP Incline Dumbbell Fly,131,Strength
1143,Holman Push-Up to Belly Touch,124,Strength
1144,Single-arm dumbbell floor press,109,Strength
1145,Total Fitness Weighted Push-Up,334,Strength
1146,King Maker Standing Dumbbell Shoulder Press,143,Strength
1147,30 Chest Incline Dumbbell Fly,396,Strength
1148,30 Chest Incline Dumbbell Bench Press,238,Strength
1149,30 Chest Dumbbells-Together Press,492,Strength
1150,30 Chest Dumbbells-Together Incline Bench Press,205,Strength
1151,30 Chest Dumbbell Fly,284,Strength
1152,30 Chest Dumbbell Bench Press,493,Strength
1153,30 Chest 30-Degree Incline Dumbbell Fly,146,Strength
1154,FYR2 Single-Dumbbell Push-Up,225,Strength
1155,Bodyweight Flyes,475,Strength
1156,Close-grip EZ-bar bench press,209,Strength
1157,Chest dip,103,Strength
1158,Drop Push,154,Plyometrics
1159,Forward Drag with Press,131,Strongman
1160,Chain Press,55,Powerlifting
1161,Behind Head Chest Stretch,196,Stretching
1162,Pass-through stretch with band,235,Stretching
1163,Weighted Push-Up,266,Strength
1164,Heavy Bag Thrust,387,Plyometrics
1165,Decline Explosive Push-Up,238,Plyometrics
1166,Suspended Chest Fly,471,Strength
1167,Svend press,228,Strength
1168,Bar Push-Up Smith Machine,334,Plyometrics
1169,Plate-weighted push-up,145,Strength
1170,Double-bar roll-out chest fly,62,Strength
1171,Holman Plate Dynamo Push-Up,147,Strength
1172,Holman Towel Drag Two Steps to Push-Up,299,Strength
1173,Taylor Val Slide Push-Up/Fly Combo,337,Strength
1174,Exercise ball chest stretch,127,Stretching
1175,Bosu Ball Push-Up,112,Strength
1176,Feet-elevated push-up on ball,286,Strength
1177,Standing alternating band speed row,181,Strength
1178,Band roundhouse elbow,171,Strength
1179,Palms-down wrist curl over bench,445,Strength
1180,Palms-up wrist curl over bench,120,Strength
1181,Standing behind-the-back wrist curl,80,Strength
1182,Seated finger curl,126,Strength
1183,Seated palms-up wrist curl,413,Strength
1184,Bottoms-Up Clean From The Hang Position,97,Strength
1185,Seated One-Arm Dumbbell Palms-Up Wrist Curl,251,Strength
1186,Palms-Up Dumbbell Wrist Curl Over A Bench,348,Strength
1187,Seated palms-down wrist curl,439,Strength
1188,Palms-Down Dumbbell Wrist Curl Over A Bench,318,Strength
1189,Seated One-Arm Dumbbell Palms-Down Wrist Curl,341,Strength
1190,Seated Dumbbell Palms-Up Wrist Curl,133,Strength
1191,Partner farmer's walk,436,Strength
1192,Dumbbell suitcase carry,348,Strength
1193,Suitcase Dumbbell Carry,427,Strength
1194,Side plank with dumbbell external rotation,110,Strength
1195,Rickshaw Carry,491,Strongman
1196,Dumbbell farmer's walk,183,Strongman
1197,Wrist Roller,317,Strength
1198,Standing Olympic Plate Hand Squeeze,415,Strength
1199,Plate Pinch,382,Strength
1200,Landmine Press and Catch,320,Strength
1201,Plate halo,255,Strength
1202,Bryant Wrist Curl,497,Strength
1203,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,305,Strength
1204,Cable Wrist Curl,254,Strength
1205,Single-arm cable push-down,103,Strength
1206,Wrist Circles,437,Stretching
1207,Kneeling Forearm Stretch,176,Stretching
1208,Hip Extension with Bands,492,Strength
1209,Hip Lift with Band,171,Powerlifting
1210,HM Monster Walk,308,Strength
1211,UNS Banded Glute Bridge,305,Strength
1212,FYR2 Banded Glute Bridge,79,Strength
1213,Piriformis SMR,317,Stretching
1214,Barbell glute bridge,199,Powerlifting
1215,Barbell Hip Thrust,141,Powerlifting
1216,Kneeling Squat,132,Powerlifting
1217,Kneeling Jump Squat,413,Olympic Weightlifting
1218,UN Rear Foot Elevated Split Squat,60,Strength
1219,Kettlebell thruster,57,Strength
1220,Taylor Kettlebell Swing,398,Strength
1221,UN Goblet Squat,411,Strength
1222,Single-arm triceps kick-back,181,Strength
1223,Holman Lateral High Knees to Quad Touch Jump,357,Strength
1224,FYR2 Dumbbell Hip Thrust,436,Strength
1225,FYR2 Glute Bridge Dumbbell Floor Press,235,Strength
1226,Suspended Hip Thrust,374,Strength
1227,Single-leg cable hip extension,140,Strength
1228,Pull Through,377,Strength
1229,Cable rope pull-through deadlift,123,Strength
1230,UNS Cable Pull-Through,393,Strength
1231,30 Legs Glute-Ham Raise,472,Strength
1232,Glute bridge,332,Strength
1233,Single-leg glute bridge,171,Strength
1234,Step-up with knee raise,182,Strength
1235,Glute Kickback,449,Strength
1236,Standing hip extension,488,Strength
1237,Lying glute stretch,428,Stretching
1238,Knee Across The Body,125,Stretching
1239,Seated Glute,247,Stretching
1240,Lying Glute,63,Stretching
1241,One Knee To Chest,113,Stretching
1242,Seated Glute Stretch,418,Stretching
1243,Neck Bridge Supine,392,Strength
1244,Walking High Knee,59,Strength
1245,Walking Butt Kicks,333,Strength
1246,Walking Glute Stretch,87,Strength
1247,Lunge kick,118,Strength
1248,Curtsy lunge,212,Strength
1249,Alternating standing glute stretch,459,Stretching
1250,Side-lying leg lift,223,Strength
1251,FYR Progressive High Knee,99,Strength
1252,Glute-Ham Raise - Gethin Variation,396,Strength
1253,Lunge glute stretch,167,Stretching
1254,Natural Glute Ham Raise - Gethin Variation,429,Strength
1255,Groiner,69,Strength
1256,HM Alternating Donkey Kick,257,Strength
1257,HM Alternating Slow Step-Down With Chair,352,Strength
1258,HM Right Side Iron Cross,152,Strength
1259,HM Single-Leg Bridge,290,Strength
